"index_date";"credit_operations_(petroleum,_gas_and_alcohol) - (R$ million)"
"01/01/2012";"54768"
"01/02/2012";"54716"
"01/03/2012";"55911"
"01/04/2012";"57270"
"01/05/2012";"58842"
"01/06/2012";"59194"
"01/07/2012";"63151"
"01/08/2012";"63201"
"01/09/2012";"63531"
"01/10/2012";"64696"
"01/11/2012";"65405"
"01/12/2012";"65425"
"01/01/2013";"65215"
"01/02/2013";"65360"
"01/03/2013";"66588"
"01/04/2013";"70948"
"01/05/2013";"68626"
"01/06/2013";"72521"
"01/07/2013";"73837"
"01/08/2013";"74094"
"01/09/2013";"68479"
"01/10/2013";"67524"
"01/11/2013";"68246"
"01/12/2013";"71838"
"01/01/2014";"74512"
"01/02/2014";"75167"
"01/03/2014";"75181"
"01/04/2014";"75377"
"01/05/2014";"74994"
"01/06/2014";"75144"
"01/07/2014";"76096"
"01/08/2014";"75775"
"01/09/2014";"77207"
"01/10/2014";"77323"
"01/11/2014";"77815"
"01/12/2014";"77425"
"01/01/2015";"77872"
"01/02/2015";"79265"
"01/03/2015";"80517"
"01/04/2015";"81189"
"01/05/2015";"81114"
"01/06/2015";"80572"
"01/07/2015";"82994"
"01/08/2015";"85595"
"01/09/2015";"90619"
"01/10/2015";"90069"
"01/11/2015";"89428"
"01/12/2015";"90181"
"01/01/2016";"90932"
"01/02/2016";"90668"
"01/03/2016";"88071"
"01/04/2016";"87292"
"01/05/2016";"86468"
"01/06/2016";"83227"
"01/07/2016";"83786"
"01/08/2016";"83917"
"01/09/2016";"82599"
"01/10/2016";"81079"
"01/11/2016";"80590"
"01/12/2016";"69569"
"01/01/2017";"67903"
"01/02/2017";"67264"
"01/03/2017";"67300"
"01/04/2017";"65740"
"01/05/2017";"64805"
"01/06/2017";"62328"
"01/07/2017";"62033"
"01/08/2017";"67555"
"01/09/2017";"66259"
"01/10/2017";"66128"
"01/11/2017";"65156"
"01/12/2017";"59072"
"01/01/2018";"58885"
"01/02/2018";"57902"
"01/03/2018";"56863"
"01/04/2018";"56604"
"01/05/2018";"56680"
"01/06/2018";"56434"
"01/07/2018";"57088"
"01/08/2018";"56406"
"01/09/2018";"56224"
"01/10/2018";"54155"
"01/11/2018";"53663"
"01/12/2018";"53784"
"01/01/2019";"53643"
"01/02/2019";"48656"
"01/03/2019";"40944"
"01/04/2019";"40972"
"01/05/2019";"40549"
"01/06/2019";"32368"
"01/07/2019";"32828"
"01/08/2019";"32262"
"01/09/2019";"32392"
"01/10/2019";"32291"
"01/11/2019";"32562"
"01/12/2019";"33874"
"01/01/2020";"33809"
"01/02/2020";"33290"
"01/03/2020";"39857"
"01/04/2020";"40615"
"01/05/2020";"41297"
"01/06/2020";"41213"
"01/07/2020";"41419"
"01/08/2020";"41554"
"01/09/2020";"42190"
"01/10/2020";"42540"
"01/11/2020";"45227"
"01/12/2020";"44305"
"01/01/2021";"43433"
"01/02/2021";"43162"
"01/03/2021";"39154"
"01/04/2021";"39408"
"01/05/2021";"39239"
"01/06/2021";"28163"
"01/07/2021";"28010"
"01/08/2021";"28366"
"01/09/2021";"24870"
"01/10/2021";"25255"
