index_date;fuel_sector_credit_operations_(r$_million)
2012-01-01;54739.735364596
2012-02-01;54976.4914094815
2012-03-01;55832.5712925546
2012-04-01;56718.2902990053
2012-05-01;58439.9659444999
2012-06-01;59723.5039576828
2012-07-01;62987.5835216313
2012-08-01;62676.874329306
2012-09-01;63433.7988626294
2012-10-01;65229.8716207846
2012-11-01;65686.1332802424
2012-12-01;65711.5854864835
2013-01-01;65127.0746420207
2013-02-01;65533.5929646225
2013-03-01;66491.8032472732
2013-04-01;70429.5154803909
2013-05-01;68271.7146783411
2013-06-01;73145.0381264616
2013-07-01;73757.944914408
2013-08-01;73545.0645301175
2013-09-01;68344.3647935881
2013-10-01;68029.6895721904
2013-11-01;68531.4354184384
2013-12-01;72051.3557577993
2014-01-01;74379.7711834429
2014-02-01;75224.0772102059
2014-03-01;75072.4474442163
2014-04-01;74903.9413461692
2014-05-01;74722.031529729
2014-06-01;75909.5015943289
2014-07-01;76121.1711110492
2014-08-01;75242.1028879958
2014-09-01;77032.5733081538
2014-10-01;77761.72154456
2014-11-01;78099.4454661971
2014-12-01;77542.7400598514
2015-01-01;77606.6760935515
2015-02-01;79166.2976218525
2015-03-01;80445.6968749104
2015-04-01;80847.2073034751
2015-05-01;80964.0058567663
2015-06-01;81426.260880113
2015-07-01;83098.3121805955
2015-08-01;85123.886070617
2015-09-01;90411.3931944836
2015-10-01;90409.2699237474
2015-11-01;89665.2880046649
2015-12-01;90169.6796629392
2016-01-01;90608.7816710204
2016-02-01;90461.125478386
2016-03-01;88051.6670084746
2016-04-01;87061.0057741022
2016-05-01;86396.9822132756
2016-06-01;84149.3529392429
2016-07-01;83922.7833822366
2016-08-01;83547.4280476617
2016-09-01;82387.5682108572
2016-10-01;81338.8910071175
2016-11-01;80824.3532170641
2016-12-01;69385.0895103512
2017-01-01;67438.0450413368
2017-02-01;66991.5246006425
2017-03-01;67422.5069600076
2017-04-01;65658.9252774977
2017-05-01;64757.1690251251
2017-06-01;63198.9098944155
2017-07-01;62164.2232542098
2017-08-01;67329.4065548756
2017-09-01;66101.7081068775
2017-10-01;66360.1808031268
2017-11-01;65323.915821689
2017-12-01;58665.7429020237
2018-01-01;58362.8964117726
2018-02-01;57643.7252919306
2018-03-01;57139.4141094951
2018-04-01;56624.8401003231
2018-05-01;56576.4356003196
2018-06-01;57220.4325482117
2018-07-01;57156.5367093345
2018-08-01;56338.5170313468
2018-09-01;56182.8174332547
2018-10-01;54441.5703936909
2018-11-01;53773.792394532
2018-12-01;53183.611403841
2019-01-01;52997.6166221298
2019-02-01;48372.5630324819
2019-03-01;41361.0466635361
2019-04-01;41099.981865833
2019-05-01;40432.0821252916
2019-06-01;33049.9747292887
2019-07-01;32833.1192055254
2019-08-01;32328.2073058249
2019-09-01;32460.6794884135
2019-10-01;32670.967646119
2019-11-01;32588.1711898158
2019-12-01;33122.4489130153
2020-01-01;33097.9954466444
2020-02-01;32962.6810520317
2020-03-01;40336.6641492406
2020-04-01;40796.5760018792
2020-05-01;41177.9081584309
2020-06-01;41886.6345074985
2020-07-01;41398.0144926152
2020-08-01;41676.3735756317
2020-09-01;42356.2446666408
2020-10-01;42986.9069507927
2020-11-01;45213.4098455812
2020-12-01;43443.0524226229
2021-01-01;42629.8137020145
2021-02-01;42785.6063668788
2021-03-01;39681.9133248089
2021-04-01;39625.4510146652
2021-05-01;39124.1637560089
2021-06-01;28853.5768225244
2021-07-01;28013.2777927937
2021-08-01;28491.6548425287
2021-09-01;25102.2801971606
